"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LTINT","TOT","PC_PA","Q","2005-Q2",3.346667,
"PRT","LTINT","TOT","PC_PA","Q","2005-Q3",3.323333,
"PRT","LTINT","TOT","PC_PA","Q","2005-Q4",3.476667,
"PRT","LTINT","TOT","PC_PA","Q","2006-Q1",3.606667,
"PRT","LTINT","TOT","PC_PA","Q","2006-Q2",4.066667,
"PRT","LTINT","TOT","PC_PA","Q","2006-Q3",4.043334,
"PRT","LTINT","TOT","PC_PA","Q","2006-Q4",3.943333,
"PRT","LTINT","TOT","PC_PA","Q","2007-Q1",4.156667,
"PRT","LTINT","TOT","PC_PA","Q","2007-Q2",4.493333,
"PRT","LTINT","TOT","PC_PA","Q","2007-Q3",4.593333,
"PRT","LTINT","TOT","PC_PA","Q","2007-Q4",4.45,
"PRT","LTINT","TOT","PC_PA","Q","2008-Q1",4.313334,
"PRT","LTINT","TOT","PC_PA","Q","2008-Q2",4.693333,
"PRT","LTINT","TOT","PC_PA","Q","2008-Q3",4.766667,
"PRT","LTINT","TOT","PC_PA","Q","2008-Q4",4.303333,
"PRT","LTINT","TOT","PC_PA","Q","2009-Q1",4.506667,
"PRT","LTINT","TOT","PC_PA","Q","2009-Q2",4.44,
"PRT","LTINT","TOT","PC_PA","Q","2009-Q3",4.043334,
"PRT","LTINT","TOT","PC_PA","Q","2009-Q4",3.853333,
"PRT","LTINT","TOT","PC_PA","Q","2010-Q1",4.346667,
"PRT","LTINT","TOT","PC_PA","Q","2010-Q2",5.113333,
"PRT","LTINT","TOT","PC_PA","Q","2010-Q3",5.626667,
"PRT","LTINT","TOT","PC_PA","Q","2010-Q4",6.496666,
"PRT","LTINT","TOT","PC_PA","Q","2011-Q1",7.36,
"PRT","LTINT","TOT","PC_PA","Q","2011-Q2",9.893333,
"PRT","LTINT","TOT","PC_PA","Q","2011-Q3",11.47333,
"PRT","LTINT","TOT","PC_PA","Q","2011-Q4",12.23,
"PRT","LTINT","TOT","PC_PA","Q","2012-Q1",13.22333,
"PRT","LTINT","TOT","PC_PA","Q","2012-Q2",11.38667,
"PRT","LTINT","TOT","PC_PA","Q","2012-Q3",9.666667,
"PRT","LTINT","TOT","PC_PA","Q","2012-Q4",7.913333,
"PRT","LTINT","TOT","PC_PA","Q","2013-Q1",6.246666,
"PRT","LTINT","TOT","PC_PA","Q","2013-Q2",5.97,
"PRT","LTINT","TOT","PC_PA","Q","2013-Q3",6.843333,
"PRT","LTINT","TOT","PC_PA","Q","2013-Q4",6.116667,
"PRT","LTINT","TOT","PC_PA","Q","2014-Q1",4.86,
"PRT","LTINT","TOT","PC_PA","Q","2014-Q2",3.66,
"PRT","LTINT","TOT","PC_PA","Q","2014-Q3",3.446667,
"PRT","LTINT","TOT","PC_PA","Q","2014-Q4",3.05,
"PRT","LTINT","TOT","PC_PA","Q","2015-Q1",2.183333,
"PRT","LTINT","TOT","PC_PA","Q","2015-Q2",2.403333,
"PRT","LTINT","TOT","PC_PA","Q","2015-Q3",2.616667,
"PRT","LTINT","TOT","PC_PA","Q","2015-Q4",2.49,
"PRT","LTINT","TOT","PC_PA","Q","2016-Q1",2.926667,
"PRT","LTINT","TOT","PC_PA","Q","2016-Q2",3.156667,
"PRT","LTINT","TOT","PC_PA","Q","2016-Q3",3.076667,
"PRT","LTINT","TOT","PC_PA","Q","2016-Q4",3.526667,
"PRT","LTINT","TOT","PC_PA","Q","2017-Q1",3.993333,
"PRT","LTINT","TOT","PC_PA","Q","2017-Q2",3.343333,
"PRT","LTINT","TOT","PC_PA","Q","2017-Q3",2.83,
"PRT","LTINT","TOT","PC_PA","Q","2017-Q4",2.043333,
"PRT","LTINT","TOT","PC_PA","Q","2018-Q1",1.89,
"PRT","LTINT","TOT","PC_PA","Q","2018-Q2",1.79,
"PRT","LTINT","TOT","PC_PA","Q","2018-Q3",1.82,
"PRT","LTINT","TOT","PC_PA","Q","2018-Q4",1.856667,
"PRT","LTINT","TOT","PC_PA","Q","2019-Q1",1.513333,
"PRT","LTINT","TOT","PC_PA","Q","2019-Q2",0.93,
"PRT","LTINT","TOT","PC_PA","Q","2019-Q3",0.27,
"PRT","LTINT","TOT","PC_PA","Q","2019-Q4",0.3166667,
"PRT","LTINT","TOT","PC_PA","Q","2020-Q1",0.4433333,
"PRT","LTINT","TOT","PC_PA","Q","2020-Q2",0.77,
"PRT","LTINT","TOT","PC_PA","Q","2020-Q3",0.36,
